SECTION,ZONATION,BROWN_FL,RED_FL,GREEN_FL,ENCRUSTING_FL,OTHER_FL,BROWN_SL,RED_SL,GREEN_SL,ENCRUSTING_SL,OTHER_SL
1,L,3,1,2,0,0,0,0,0,1,0
1,L,2,0,2,0,0,0,0,0,1,0
1,L,2,0,0,0,0,0,0,0,2,0
1,L,2,1,1,0,0,0,0,0,2,0
1,L,5,1,2,0,0,0,0,0,2,0
1,L,4,0,1,0,0,0,0,0,1,0
1,L,1,1,1,0,0,0,0,0,2,0
1,L,4,1,1,0,0,0,0,0,1,0
1,L,3,0,1,0,0,0,0,0,2,0
1,L,3,0,2,0,0,0,0,0,1,0
1,M,1,0,1,0,0,0,0,0,1,0
1,M,2,0,1,0,0,0,0,0,1,0
1,M,3,0,2,0,0,0,0,0,1,0
1,M,2,0,2,0,0,0,0,0,1,0
1,M,1,0,2,0,0,0,0,0,0,0
1,M,1,0,2,0,0,0,0,0,1,0
1,M,2,0,2,0,0,0,0,0,2,0
1,M,2,0,1,0,0,0,0,0,1,0
1,U,0,0,1,1,0,0,0,0,1,0
1,U,0,0,1,1,0,0,0,0,0,0
1,U,0,0,1,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0,0
1,U,1,0,1,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0,0
1,U,1,0,1,1,0,0,0,0,0,0
1,U,1,0,1,0,0,0,0,0,0,0
1,U,1,0,0,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0,0
1,U,0,0,1,0,0,0,0,0,0,0
1,U,1,0,0,0,0,0,0,0,0,0
1,U,1,0,1,0,0,0,0,0,0,0
1,U,0,0,1,0,0,0,0,0,0,0
1,U,1,0,1,0,0,0,0,0,0,0
1,U,0,0,1,0,0,0,0,0,0,0
1,M,1,0,2,0,0,0,0,0,0,0
1,M,1,0,1,0,0,0,0,0,0,0
1,M,0,0,1,0,0,0,0,0,0,0
1,M,2,0,2,0,0,0,0,0,0,0
1,L,1,0,1,0,0,0,0,0,0,0
1,L,1,0,1,0,0,0,0,0,0,0
1,L,1,0,1,0,0,0,0,0,0,0
1,L,2,0,1,0,0,0,0,0,0,0
1,L,2,0,1,0,0,0,0,0,0,0
1,L,1,0,1,0,0,0,0,0,0,0
1,L,0,0,1,0,0,0,0,0,0,0
1,L,0,0,1,0,0,0,0,0,0,0
1,L,0,0,1,0,0,0,0,0,0,0
1,L,0,0,2,0,0,0,0,0,0,0
1,L,1,0,1,0,0,0,0,0,0,0
1,L,1,0,1,0,0,0,0,0,0,0
1,U,1,0,1,0,0,0,0,0,0,0
1,U,1,0,0,0,0,0,0,0,1,0
2,L,2,0,2,0,0,0,0,0,1,0
2,L,2,0,2,0,0,0,0,0,0,0
2,M,0,0,1,0,0,0,0,0,1,0
2,M,1,0,2,0,0,0,0,0,1,0
2,M,1,0,1,0,1,0,0,0,1,0
2,M,1,0,2,0,0,0,0,1,0,0
2,M,1,0,1,0,1,0,0,0,0,0
2,M,1,0,1,0,0,0,0,0,0,0
2,M,1,0,1,0,0,0,0,0,0,0
2,M,1,0,1,0,0,0,0,0,0,0
2,L,2,0,2,0,0,0,0,0,0,0
2,L,1,0,2,0,0,0,0,0,0,0
2,L,0,0,2,0,1,0,0,0,0,0
2,L,1,0,1,0,0,0,0,0,0,0
2,L,1,0,2,0,0,0,0,0,0,0
2,L,1,0,1,0,0,0,0,0,0,0
2,M,0,0,2,0,0,0,0,0,1,0
2,M,0,0,2,0,0,0,0,0,1,0
2,M,0,0,2,0,0,0,0,0,1,0
2,M,0,0,2,0,0,0,0,0,1,0
2,M,0,1,1,0,0,0,0,0,0,0
2,M,1,0,2,0,0,0,0,0,1,0
2,M,2,0,1,0,0,0,0,0,0,0
2,M,0,0,1,1,0,0,0,0,0,0
2,U,1,0,1,0,0,0,0,0,0,0
2,U,1,0,1,0,0,0,0,0,0,0
2,U,1,0,0,0,0,0,0,0,0,0
2,U,1,0,1,1,0,0,0,0,0,0
2,U,0,0,1,1,0,0,0,0,0,0
2,U,0,0,0,0,0,0,0,0,0,0
2,U,1,0,1,1,1,0,0,0,0,0
2,U,1,0,0,1,0,0,0,0,0,0
2,U,1,0,0,0,0,0,0,0,0,0
2,U,1,0,0,0,0,0,0,0,0,0
2,U,0,0,0,0,0,0,0,0,0,0
2,U,0,0,0,0,0,0,0,0,0,0
2,U,1,0,1,0,0,0,0,0,0,0
2,U,1,0,0,0,0,0,0,0,0,0
2,U,1,0,1,0,0,0,0,0,0,0
2,U,0,0,0,0,0,0,0,0,0,0
2,M,1,0,1,0,0,0,0,0,1,0
2,M,1,0,2,0,0,0,0,0,0,0
2,M,2,0,1,2,0,0,0,1,1,0
2,U,1,0,0,1,0,0,0,0,1,0
2,U,1,0,0,1,0,0,0,0,0,0
2,L,6,0,2,0,0,1,0,0,1,0
2,L,5,0,2,1,0,0,0,0,0,0
2,L,3,1,1,1,0,0,0,0,0,0
2,L,4,0,1,1,0,0,0,0,1,0
2,L,4,0,1,1,1,0,0,0,1,0
2,L,2,0,1,1,0,0,0,0,0,0
2,L,4,1,1,0,0,0,0,0,1,0
2,L,3,0,1,0,0,1,0,0,1,0
2,L,6,1,1,0,1,1,1,0,1,0
2,L,3,0,0,0,0,0,0,0,1,1
2,L,3,1,1,1,1,0,0,0,0,1
2,L,4,1,1,0,0,0,0,0,0,0
2,L,4,0,1,1,0,0,0,0,0,1
2,L,5,0,1,0,0,0,0,0,0,0
2,M,1,0,1,0,0,0,0,0,0,0
2,M,1,0,1,0,0,0,0,0,0,0
2,M,1,0,1,0,0,0,0,1,0,0
2,M,2,0,1,0,0,0,0,0,0,0
2,M,1,0,1,1,0,0,0,0,0,0
2,M,1,0,1,1,0,0,0,0,0,0
2,M,2,0,1,0,0,0,0,0,0,0
2,M,1,0,1,0,0,0,0,0,0,0
2,M,0,0,0,0,0,0,0,0,0,0
2,M,0,0,0,0,0,0,0,0,0,0
2,M,1,0,1,1,0,0,0,0,0,0
2,M,0,0,0,0,0,0,0,0,0,0
3,L,2,0,2,0,0,1,0,0,0,0
3,L,3,0,1,0,0,0,0,0,1,0
3,L,1,1,1,0,0,0,0,0,0,0
3,L,2,0,2,0,0,0,0,0,0,0
3,L,2,0,0,0,0,0,0,0,0,0
3,L,2,1,1,0,0,0,0,0,0,0
3,L,2,0,2,0,0,0,0,0,0,0
3,L,2,0,1,0,1,0,0,0,1,0
3,M,0,0,2,0,1,0,0,0,1,0
3,M,3,0,2,0,0,0,0,0,0,0
3,M,1,0,2,0,0,0,1,1,1,0
3,M,1,0,2,0,0,0,0,0,0,0
3,M,1,0,1,0,0,0,0,0,0,0
3,M,0,0,2,0,0,0,0,0,0,0
3,L,3,0,1,0,0,0,0,0,0,0
3,L,2,1,2,0,0,1,0,0,0,0
3,L,2,0,2,0,0,0,0,0,0,0
3,L,1,1,1,0,0,0,0,0,0,0
3,M,1,0,2,1,0,0,0,0,1,0
3,M,0,0,1,0,0,0,0,0,0,0
3,L,3,0,1,0,0,0,0,0,0,0
3,L,3,1,1,0,0,0,0,0,0,0
3,L,1,1,2,1,0,0,0,1,0,0
3,L,1,1,2,0,0,0,0,1,0,0
3,M,0,1,1,0,0,0,0,0,0,0
3,M,0,0,1,0,0,0,0,0,0,0
3,U,0,0,1,1,0,0,0,0,0,0
3,U,0,0,1,1,0,0,0,0,0,0
3,L,3,1,2,0,0,0,0,1,0,0
3,L,2,1,2,0,0,0,0,0,0,0
3,M,0,1,2,0,0,0,0,1,0,0
3,M,1,1,2,0,0,0,0,1,0,0
3,U,0,0,1,0,0,0,0,0,0,0
3,U,0,0,1,0,0,0,0,0,0,0
3,L,3,1,1,0,0,0,0,0,0,0
3,L,3,1,1,0,0,0,0,0,0,0
3,M,1,0,2,0,0,0,0,0,0,0
3,M,0,0,0,0,0,0,0,0,0,0
3,U,0,1,2,0,0,0,0,0,0,0
3,U,0,1,2,0,0,0,0,0,0,0
3,L,4,0,1,0,0,0,0,0,0,0
3,L,2,0,0,0,0,0,0,0,0,0
3,M,0,1,2,0,0,0,0,1,0,0
3,M,0,1,2,0,0,0,0,1,0,0
3,U,0,1,1,0,0,0,0,0,0,0
3,L,3,0,1,0,0,0,0,0,0,0
3,L,1,0,2,0,0,0,0,0,0,0
3,U,0,1,2,0,0,0,0,1,0,0
3,U,0,1,2,0,0,0,0,0,0,0
3,M,1,1,2,0,0,0,0,0,0,0
3,M,3,1,1,0,0,0,0,0,0,0
3,U,0,1,2,0,0,0,0,0,0,0
3,U,0,1,1,0,0,0,0,0,0,0
3,U,1,0,1,1,0,0,0,0,0,0
3,M,0,0,1,0,0,0,1,0,0,0
3,L,2,1,2,1,0,3,1,0,2,0
4,U,1,0,0,1,0,0,0,0,0,0
4,U,1,0,0,1,0,0,0,0,0,0
4,U,1,0,0,1,0,0,0,0,0,0
4,U,3,0,0,1,0,0,0,0,0,0
4,U,0,0,0,0,0,0,0,0,0,0
4,U,1,0,0,0,0,0,0,0,0,0
4,U,2,0,0,0,0,0,0,0,0,0
4,U,1,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,0,0,0,0,0
4,U,2,0,0,0,0,0,0,0,0,0
4,U,1,0,0,0,0,0,0,0,0,0
4,U,2,0,0,0,0,0,0,0,0,0
4,U,1,0,0,0,0,0,0,0,0,0
4,U,1,0,0,1,0,0,0,0,0,0
4,U,1,0,0,1,0,0,0,0,0,0
4,M,1,0,1,1,0,0,0,0,0,0
4,M,1,0,1,1,0,0,0,0,0,0
4,M,1,0,2,0,0,0,0,0,0,0
4,M,1,0,2,1,0,0,0,0,0,0
4,U,0,0,0,0,0,0,0,0,0,0
4,M,1,0,1,1,0,1,0,1,0,0
4,M,1,0,1,0,0,0,0,0,2,0
4,M,2,0,2,0,0,0,0,0,0,0
4,M,2,0,1,0,0,0,0,0,1,0
4,M,1,0,1,0,0,0,0,0,0,0
4,M,2,0,1,0,0,0,0,0,0,0
4,M,0,0,1,0,0,0,0,0,0,0
4,M,1,0,1,0,0,0,0,0,0,0
4,L,3,0,1,1,0,0,0,0,1,0
4,L,2,0,1,0,0,1,1,0,0,0
4,L,2,0,1,0,0,0,0,0,0,0
4,L,1,0,1,0,0,0,0,0,0,0
4,L,3,0,1,0,0,0,0,0,1,0
4,L,3,0,1,0,0,0,0,0,0,0
4,L,2,1,2,0,0,0,0,0,0,0
4,L,1,0,2,0,0,0,0,0,0,0
4,L,2,0,2,1,0,0,0,1,2,0
4,L,3,0,2,0,0,0,0,0,2,0
4,L,3,0,2,0,0,0,0,0,1,0
4,L,3,1,1,0,0,0,0,0,0,0
4,L,6,0,0,1,0,0,0,0,0,0
4,L,4,1,1,0,0,0,0,0,0,0
4,L,1,0,2,0,0,0,0,0,0,0
4,L,2,0,2,0,0,0,0,0,0,0
4,M,0,0,1,0,0,0,0,0,0,0
4,M,0,0,1,0,0,0,0,0,1,0
4,L,1,0,1,0,0,0,0,0,1,0
4,L,1,0,1,0,0,0,0,0,0,0
4,M,0,0,1,0,0,2,0,0,0,0
4,M,0,0,1,0,0,2,0,0,0,0
4,M,0,0,2,0,0,0,0,0,0,0
4,M,0,0,1,0,0,0,0,0,0,0
4,L,3,0,1,0,0,0,0,0,1,0
4,L,1,0,1,0,0,0,0,0,0,0
4,L,2,0,1,0,0,0,0,0,1,0
4,L,2,0,1,0,0,0,0,0,1,0
4,M,0,0,1,0,0,0,0,0,2,0
4,M,1,0,1,1,0,0,0,0,0,0
4,M,0,0,1,0,0,0,0,0,0,0
4,M,0,0,1,0,0,0,0,0,0,0
4,U,1,0,0,0,0,0,0,0,0,0
4,U,1,0,0,0,0,0,0,0,0,0
4,U,1,0,0,0,0,0,0,0,0,0
4,U,1,0,0,0,0,0,0,0,0,0
4,U,1,0,0,0,0,0,0,0,0,0
4,U,1,0,0,0,0,0,0,0,0,0
5,L,1,0,2,0,0,0,0,0,0,0
5,L,3,0,1,0,0,0,0,0,0,0
5,L,3,0,1,0,0,0,0,0,0,0
5,L,2,0,2,0,0,0,0,0,0,0
5,L,1,0,1,0,0,0,0,0,0,0
5,M,0,0,1,0,0,0,0,0,1,0
5,M,0,0,1,0,0,1,0,0,1,0
5,M,1,1,2,0,0,1,0,0,1,0
5,M,1,0,2,0,0,1,0,0,1,0
5,M,0,0,1,0,0,0,0,0,1,0
5,M,1,0,1,0,0,0,0,0,0,0
5,M,1,0,1,0,0,0,0,0,1,0
5,M,2,0,2,0,0,0,0,0,0,0
5,M,2,0,1,0,0,1,0,1,1,0
5,M,1,0,2,1,0,0,0,0,0,0
5,L,2,0,1,0,0,0,0,0,0,0
5,L,2,0,1,0,0,0,0,0,0,0
5,L,2,0,1,0,0,0,0,0,0,0
5,L,3,0,1,0,0,0,0,0,0,0
5,L,2,0,1,0,0,0,0,0,1,0
5,L,2,1,1,0,0,0,0,0,1,0
5,L,2,0,1,1,0,0,0,0,2,0
5,L,5,0,1,0,0,0,0,0,1,0
5,L,2,0,1,0,0,0,0,0,0,0
5,L,4,0,1,0,0,0,0,0,0,0
5,L,2,0,1,0,0,0,0,0,0,0
5,L,1,0,1,0,0,0,0,0,0,0
5,L,3,0,0,0,0,0,0,0,0,0
5,L,0,0,1,0,0,0,0,0,0,0
5,L,1,0,1,0,0,0,0,0,0,0
5,L,2,0,1,0,0,0,0,0,0,0
5,U,1,0,0,0,0,0,0,0,0,0
5,U,2,0,0,0,0,0,0,0,0,0
5,U,0,0,0,1,0,0,0,0,0,0
5,U,3,0,0,0,0,0,0,0,0,0
5,U,1,0,0,1,0,0,0,0,0,0
5,U,3,0,1,1,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0,0
5,L,2,0,2,0,0,0,0,0,1,0
5,U,1,0,0,0,0,0,0,0,0,0
5,U,1,0,0,0,0,0,0,0,0,0
5,U,1,0,0,0,0,0,0,0,0,0
5,U,1,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,1,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0,0
5,U,1,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0,0
5,U,1,0,0,1,0,0,0,0,0,0
6,L,1,0,1,0,0,1,0,1,1,0
6,L,3,0,1,1,0,0,0,0,0,0
6,L,3,0,1,0,0,0,0,0,0,0
6,L,1,0,1,0,0,0,0,0,0,0
6,L,3,0,0,0,0,0,0,0,0,0
6,L,1,0,1,1,0,0,0,1,2,0
6,L,2,0,1,0,0,0,0,0,1,0
6,L,2,0,1,0,0,0,0,0,0,0
6,L,0,0,1,0,0,0,0,0,1,0
6,L,0,0,1,0,0,1,0,2,1,0
6,M,0,0,1,1,0,1,0,0,1,0
6,M,1,0,1,0,0,0,0,0,1,0
6,M,0,0,1,0,0,2,0,0,1,0
6,M,2,0,2,0,0,0,0,0,1,0
6,M,0,0,1,0,0,1,0,0,1,0
6,M,0,0,1,0,0,1,0,0,1,0
6,M,0,0,1,0,0,1,0,0,1,0
6,M,3,0,1,0,0,0,0,0,1,0
6,M,2,0,1,0,0,2,0,0,0,0
6,M,1,0,1,0,0,1,0,0,1,0
6,M,0,0,0,0,0,0,0,2,1,0
6,M,0,0,0,0,0,0,0,1,0,0
6,U,0,0,0,0,0,1,1,2,1,0
6,U,0,0,0,0,0,0,0,2,1,0
6,M,0,0,0,0,0,0,1,2,0,0
6,M,0,0,0,0,0,0,1,2,1,0
6,U,0,0,0,0,0,2,0,1,0,0
6,U,0,0,0,0,0,2,0,1,0,0
6,L,0,0,0,0,0,1,1,2,0,0
6,L,0,0,0,0,0,0,1,2,0,0
6,L,0,0,0,0,0,0,1,2,0,0
6,L,0,0,0,0,0,0,1,2,1,0
6,M,0,0,0,0,0,1,1,2,0,0
6,M,0,0,0,0,0,0,1,1,0,0
6,M,0,0,0,0,0,0,0,2,1,0
6,M,0,0,0,0,0,0,0,2,1,0
6,L,0,0,0,0,0,2,0,1,0,0
6,L,0,0,0,0,0,0,1,1,0,0
6,M,0,0,0,0,0,0,0,2,0,0
6,M,0,0,0,0,0,0,0,1,0,1
6,U,0,0,0,0,0,0,1,1,0,0
6,U,0,0,0,0,0,0,1,1,0,0
6,U,0,0,0,0,0,0,1,3,0,0
6,U,0,0,0,0,0,0,0,0,0,0
6,U,0,0,0,0,0,0,1,1,0,0
6,U,0,0,0,0,0,0,1,2,0,0
6,L,1,0,2,0,0,0,0,0,0,0
6,L,1,0,2,0,0,0,0,0,0,0
6,L,2,0,2,0,0,0,0,0,0,0
6,L,2,0,2,0,0,0,0,0,0,0
6,L,2,0,1,0,0,0,0,0,1,0
6,L,2,0,2,0,0,0,0,0,1,0
6,L,2,0,1,0,0,0,0,0,0,0
6,L,2,0,1,0,0,0,0,0,0,0
6,L,3,0,1,0,0,0,0,0,0,0
6,L,2,0,1,0,0,0,0,0,0,0
6,U,2,0,1,1,0,0,0,0,0,0
6,U,1,0,0,0,0,1,0,0,0,0
6,U,1,0,0,0,0,0,0,0,0,0
6,U,1,0,0,0,0,0,0,0,0,0
6,U,1,0,0,0,0,0,0,0,0,0
6,U,1,0,0,0,0,0,0,0,0,0
6,U,1,0,0,0,0,0,0,0,0,0
6,U,1,0,0,0,0,0,0,0,0,0
7,U,1,0,0,1,0,0,0,0,0,0
7,U,1,0,0,0,0,0,0,0,0,0
7,U,0,0,0,1,0,0,0,0,0,0
7,U,1,0,0,1,0,0,0,0,0,0
7,L,0,0,1,0,0,0,0,0,0,0
7,L,0,0,1,0,0,0,0,0,0,0
7,L,0,0,1,0,0,3,0,0,0,0
7,L,0,0,1,0,0,3,0,0,0,0
7,L,2,0,3,0,0,3,0,0,0,0
7,L,2,0,2,0,0,0,0,0,0,0
7,M,2,0,2,0,0,0,0,0,0,0
7,M,2,0,2,0,0,0,0,0,0,0
7,M,1,0,2,0,0,0,0,0,0,0
7,M,0,0,2,0,0,0,0,0,0,0
7,M,2,0,2,0,0,0,0,0,0,0
7,M,2,0,2,0,0,0,0,0,0,0
7,M,0,0,2,0,0,0,0,0,0,0
7,M,2,0,2,0,0,0,0,0,0,0
7,L,2,0,1,0,0,0,0,0,0,0
7,L,1,0,1,0,0,0,0,0,0,0
7,L,2,0,1,0,0,0,0,0,0,0
7,L,1,0,1,1,0,0,0,0,0,0
7,L,2,0,1,0,0,0,0,0,0,0
7,L,1,0,1,0,0,0,0,0,0,0
7,M,1,0,2,0,0,0,0,0,0,0
7,M,0,0,2,0,0,0,0,0,0,0
7,L,3,0,1,0,0,0,0,0,0,0
7,L,3,0,1,0,0,0,0,0,0,0
7,L,2,0,1,1,0,0,0,0,0,0
7,L,3,0,1,0,0,0,0,0,0,0
7,L,1,0,1,0,0,0,0,0,0,0
7,L,1,0,1,0,0,0,0,0,0,0
7,L,0,0,1,1,0,0,0,0,0,0
7,L,0,0,2,1,0,0,0,0,0,0
7,L,1,0,2,1,0,0,0,0,0,0
7,L,1,1,2,0,0,0,0,0,2,0
7,M,0,0,2,0,0,0,0,0,0,0
7,M,1,0,1,1,0,0,0,0,0,0
7,M,0,0,1,1,0,0,0,0,0,0
7,M,0,0,0,0,0,0,0,0,0,0
7,M,0,0,1,1,0,0,0,0,0,0
7,M,0,0,1,1,0,0,0,0,0,0
7,M,0,0,2,0,0,0,0,0,0,0
7,M,1,0,2,1,0,0,0,2,1,0
7,U,3,0,0,0,0,0,0,0,0,0
7,U,3,0,0,0,0,0,0,0,0,0
7,U,3,0,0,0,0,0,0,0,0,0
7,U,1,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0,0
7,U,1,0,1,0,0,0,0,0,0,0
7,U,1,0,1,0,0,0,0,0,0,0
7,U,1,0,1,0,0,0,0,0,0,0
7,U,1,0,1,1,0,0,0,0,0,0
7,U,1,0,1,0,0,0,0,0,0,0
7,U,1,0,0,0,0,0,0,0,0,0
7,U,1,0,0,1,0,0,0,0,0,0
7,U,1,0,0,1,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0,0
8,L,1,1,1,0,0,0,0,0,0,0
8,L,2,1,1,0,0,0,0,0,0,0
8,L,2,1,1,0,0,0,0,1,0,0
8,L,1,0,1,0,0,0,0,0,0,0
8,M,0,1,2,0,0,0,0,0,0,0
8,M,0,1,1,0,0,0,0,0,0,0
8,U,1,0,2,0,0,0,0,0,0,0
8,U,1,0,2,0,0,0,0,0,0,0
8,U,1,0,2,0,0,0,0,0,0,0
8,U,1,0,2,0,0,0,0,0,0,0
8,M,2,0,2,0,0,0,0,0,0,0
8,M,1,1,1,0,0,0,0,0,0,0
8,U,1,0,2,0,0,0,0,0,0,0
8,U,1,1,1,0,0,0,0,0,0,0
8,M,1,1,2,0,0,0,0,0,0,0
8,M,1,0,1,0,0,0,0,0,0,0
8,M ,1,1,2,0,0,0,0,0,0,0
8,M,0,1,2,0,0,0,0,0,0,0
8,U,0,0,2,0,0,0,0,0,0,0
8,U,0,0,0,0,0,0,0,0,0,0
8,L,3,1,0,0,0,0,0,0,0,0
8,L,2,0,0,0,0,0,0,0,0,0
8,M,2,0,2,0,0,0,0,0,0,0
8,M,1,1,1,0,0,0,0,0,0,0
8,L,4,1,1,0,0,0,0,0,0,0
8,L,2,0,1,0,0,0,0,0,0,0
8,M,1,1,1,0,0,0,0,0,0,0
8,M,1,1,1,0,0,0,0,0,0,0
8,L,2,1,2,0,0,0,0,0,0,0
8,L,3,0,1,0,0,0,0,0,0,0
8,M,0,0,0,0,0,0,0,0,0,0
8,M,2,0,1,0,0,0,0,0,0,0
8,U,1,0,2,0,0,0,0,0,0,0
8,U,1,0,2,0,0,0,0,0,0,0
8,U,0,1,1,0,0,0,0,0,0,0
8,U,0,1,1,0,0,0,0,0,0,0
8,M,4,1,1,0,0,0,0,0,0,0
8,M,0,0,1,0,0,0,0,0,0,0
8,U,1,0,1,0,0,0,0,0,0,0
8,U,0,0,2,0,0,0,0,0,0,0
8,M,0,0,1,0,0,0,0,0,0,0
8,M,0,0,0,0,0,0,0,0,0,0
8,U,0,0,2,0,0,0,0,0,0,0
8,U,0,0,1,0,0,0,0,0,0,0
8,L,1,1,2,0,0,0,0,0,0,0
8,L,2,1,1,0,0,0,0,0,0,0
8,L,3,0,1,0,0,0,0,0,0,0
8,L,1,1,2,0,0,0,0,0,0,0
8,L,2,0,1,0,0,0,0,0,0,0
8,L,1,1,2,0,0,0,0,0,0,0
8,L,1,1,1,0,0,0,0,0,0,0
8,L,2,1,1,0,0,0,0,0,0,0
8,L,0,1,1,0,0,0,0,0,0,0
8,L,4,1,1,0,0,0,0,0,0,0
8,L,0,0,2,1,0,0,0,0,0,0
8,L,1,0,2,0,0,0,0,0,0,0
8,L,0,0,1,0,0,0,0,0,0,0
8,L,0,0,0,0,0,0,0,0,0,0