SECTION,ZONATION,ANNELIDA,BRYOZOA,TUNICATA,PORIFERA,CNIDAIRA,MOLLUSCA,ARTHROPODA,ECHINODERMATA,OSTEICHTHYES
1,L,0,0,0,0,0,3,0,3,0
1,L,0,0,0,0,0,5,0,0,0
1,L,0,0,0,0,0,2,0,0,0
1,L,0,0,0,0,0,1,0,0,0
1,L,0,0,1,0,0,1,1,0,0
1,L,0,0,0,0,0,5,0,0,0
1,L,0,0,0,0,0,1,0,0,0
1,L,0,0,0,0,0,4,0,0,0
1,L,1,0,1,0,0,1,0,6,0
1,L,0,0,1,0,0,3,0,2,0
1,M,0,0,0,0,0,28,2,0,0
1,M,0,0,0,0,0,6,0,0,0
1,M,0,0,0,0,0,9,3,4,0
1,M,0,0,0,0,0,6,0,0,0
1,M,0,0,0,0,0,4,2,1,1
1,M,0,0,1,0,1,1,2,7,1
1,M,0,0,0,0,0,1,0,0,0
1,M,0,0,0,0,0,6,0,0,0
1,U,0,0,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0
1,U,0,0,0,0,0,10,0,0,0
1,U,0,0,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0
1,M,0,0,0,1,0,7,4,2,0
1,M,1,0,0,0,0,0,2,0,0
1,M,4,0,0,0,0,3,1,0,0
1,M,0,0,0,0,0,7,0,0,0
1,L,3,0,0,0,0,1,2,0,0
1,L,5,0,0,1,1,3,3,2,0
1,L,0,0,0,2,0,1,6,0,0
1,L,7,0,0,2,1,1,4,2,0
1,L,1,0,0,1,0,0,1,1,0
1,L,0,0,0,2,0,0,1,3,0
1,L,1,0,0,0,0,0,4,0,1
1,L,1,0,0,0,0,0,1,0,2
1,L,2,0,0,0,0,5,3,11,1
1,L,2,0,0,0,2,7,9,30,1
1,L,2,0,0,1,0,1,7,2,1
1,L,2,0,0,1,0,1,1,4,1
1,U,0,0,0,0,0,14,0,0,0
1,U,0,0,0,0,0,19,0,0,0
2,L,0,1,0,0,0,5,0,0,0
2,L,0,0,0,0,0,5,1,0,0
2,M,0,0,0,0,0,2,0,0,0
2,M,0,0,0,0,0,2,1,1,0
2,M,1,0,0,0,0,1,1,0,0
2,M,0,0,1,0,0,1,1,1,0
2,M,3,1,0,1,0,2,1,1,0
2,M,2,0,0,0,0,2,1,0,0
2,M,1,0,0,0,0,4,0,0,0
2,M,0,0,1,0,0,3,0,0,0
2,L,0,0,0,0,0,0,0,0,0
2,L,0,0,0,1,0,1,0,0,0
2,L,1,1,0,1,0,4,0,2,0
2,L,1,1,0,0,0,0,0,0,0
2,L,2,1,0,1,0,4,1,0,0
2,L,0,0,0,0,0,2,0,0,0
2,M,0,0,0,0,0,1,4,0,0
2,M,0,0,0,0,0,3,0,0,0
2,M,0,0,0,0,0,3,1,0,0
2,M,1,0,0,1,0,4,0,0,0
2,M,0,0,0,0,0,2,0,1,0
2,M,0,0,0,0,0,8,0,0,0
2,M,0,0,0,0,0,1,1,0,0
2,M,0,0,0,0,0,4,0,0,0
2,U,0,0,0,0,0,0,0,0,0
2,U,0,0,0,0,0,1,1,0,0
2,U,0,0,0,0,0,0,0,0,0
2,U,0,0,0,0,0,0,0,0,0
2,U,0,0,0,0,0,1,0,0,0
2,U,0,0,0,0,0,0,0,0,0
2,U,0,0,0,0,0,0,0,0,0
2,U,0,0,0,0,0,5,4,0,0
2,U,0,0,0,0,0,0,0,0,0
2,U,0,0,0,0,0,0,0,0,0
2,U,0,0,0,0,0,0,0,0,0
2,U,0,0,0,0,0,0,0,0,0
2,U,0,0,0,0,0,0,0,0,0
2,U,0,0,0,0,0,0,0,0,0
2,U,0,0,0,0,0,0,0,0,0
2,U,0,0,0,0,0,0,0,0,0
2,M,0,0,0,0,0,55,0,0,0
2,M,0,0,0,0,0,30,2,0,0
2,M,0,0,0,1,0,60,1,0,0
2,U,0,0,0,0,0,34,0,0,0
2,U,0,0,0,0,0,40,0,0,0
2,L,0,0,1,1,0,2,0,0,0
2,L,1,0,0,1,0,3,7,0,0
2,L,0,0,0,13,0,4,3,0,0
2,L,1,0,12,0,0,4,4,0,0
2,L,0,0,0,5,0,7,1,1,0
2,L,0,0,0,0,0,3,3,1,1
2,L,0,0,0,0,0,0,1,1,0
2,L,0,0,0,1,0,4,0,0,0
2,L,0,0,0,0,0,1,0,0,0
2,L,0,0,6,0,0,4,0,0,0
2,L,4,0,1,1,0,12,0,1,0
2,L,2,0,0,1,0,2,5,2,0
2,L,0,0,3,2,0,7,0,0,0
2,L,0,0,1,0,0,5,0,0,0
2,M,0,0,0,0,0,0,0,0,0
2,M,0,0,0,0,0,10,0,0,0
2,M,0,0,0,0,0,0,0,0,0
2,M,0,0,0,0,0,0,0,0,0
2,M,0,0,0,0,0,0,0,0,0
2,M,0,0,0,0,0,0,0,0,0
2,M,0,0,0,0,0,0,0,0,0
2,M,0,0,0,0,0,1,0,0,0
2,M,0,0,0,0,0,7,5,0,0
2,M,0,0,0,0,0,7,12,1,0
2,M,0,0,0,0,0,12,8,6,0
2,M,0,0,0,0,1,25,12,6,0
3,L,0,1,1,0,0,10,0,0,0
3,L,1,0,0,1,0,8,0,0,0
3,L,0,0,0,0,0,0,3,1,0
3,L,2,0,0,0,0,1,1,0,0
3,L,0,0,0,0,0,0,0,0,0
3,L,1,0,0,1,0,0,5,0,1
3,L,1,0,0,0,0,2,0,3,0
3,L,0,1,0,0,0,0,1,0,1
3,M,0,0,0,0,0,0,8,0,0
3,M,1,0,0,1,0,9,3,0,0
3,M,0,0,0,1,0,2,4,0,0
3,M,0,0,0,0,1,4,3,0,0
3,M,0,0,0,0,0,0,2,0,0
3,M,0,0,0,0,0,0,1,0,0
3,L,0,0,0,0,0,1,3,0,1
3,L,0,0,0,0,0,0,0,0,0
3,L,1,0,0,0,0,2,0,0,0
3,L,0,0,0,0,0,0,0,0,0
3,M,0,0,0,0,1,10,2,0,0
3,M,0,0,0,0,0,1,0,0,0
3,L,0,0,0,0,0,9,0,0,0
3,L,1,0,0,0,0,3,0,0,0
3,L,0,0,0,0,0,26,0,0,0
3,L,0,0,0,0,0,1,1,1,0
3,M,0,0,0,0,0,1,0,0,0
3,M,0,0,0,0,0,0,0,0,0
3,U,0,0,0,0,0,0,0,0,0
3,U,0,0,0,0,0,0,0,0,0
3,L,0,0,0,0,0,0,4,0,0
3,L,0,0,0,0,0,1,0,1,0
3,M,0,0,0,0,0,7,1,2,0
3,M,0,0,0,0,0,3,1,3,0
3,U,0,0,0,0,0,2,0,0,0
3,U,0,0,0,0,0,0,0,0,0
3,L,1,0,0,0,0,0,6,3,1
3,L,1,0,0,0,0,0,3,0,1
3,M,1,0,0,0,0,7,0,0,0
3,M,0,0,0,0,0,5,3,0,0
3,U,0,0,0,0,0,17,0,0,0
3,U,0,0,0,0,0,4,2,0,0
3,L,0,0,0,0,0,1,2,0,0
3,L,0,0,0,0,0,3,0,0,0
3,M,0,0,0,0,0,35,0,0,0
3,M,0,0,0,0,0,30,0,0,0
3,U,0,0,0,0,0,0,0,0,0
3,L,0,0,0,0,0,3,2,0,2
3,L,0,0,0,0,0,9,0,0,0
3,U,0,0,0,0,0,1,0,0,0
3,U,0,0,0,0,0,8,0,0,0
3,M,0,0,2,0,0,6,3,1,0
3,M,0,0,0,0,0,2,0,0,0
3,U,0,0,0,0,0,0,0,0,0
3,U,0,0,0,0,0,2,0,0,0
3,U,0,0,0,0,0,0,0,0,0
3,M,0,0,0,0,0,14,1,0,0
3,L,0,0,0,0,0,2,0,0,0
4,U,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,2,0,0,0
4,U,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,2,0,0,0
4,U,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,1,9,0,0
4,U,0,0,0,0,0,0,1,0,0
4,M,0,0,0,0,0,16,2,0,0
4,M,0,0,0,0,0,28,0,0,0
4,M,0,0,0,0,0,1,5,0,0
4,M,1,0,0,0,0,1,2,0,0
4,U,0,0,0,0,0,0,0,0,0
4,M,0,0,0,0,0,14,7,4,0
4,M,0,0,0,0,1,3,0,0,0
4,M,0,0,0,0,0,13,4,0,1
4,M,0,0,0,0,0,4,4,0,0
4,M,0,0,0,0,0,6,1,0,0
4,M,0,0,0,0,0,18,0,0,0
4,M,1,0,0,1,1,12,7,2,1
4,M,0,0,0,0,0,0,27,3,0
4,L,0,0,0,1,0,1,2,1,0
4,L,2,0,0,2,1,1,0,0,0
4,L,1,0,0,0,0,0,1,1,0
4,L,0,0,0,0,0,0,1,0,0
4,L,2,0,0,0,0,2,8,0,0
4,L,0,0,0,0,0,2,5,1,0
4,L,0,0,0,3,0,3,2,0,0
4,L,5,0,0,0,0,1,0,0,0
4,L,5,0,0,0,0,14,0,2,0
4,L,1,0,1,0,0,5,0,1,0
4,L,0,0,0,0,0,10,5,0,0
4,L,1,0,0,0,0,3,8,0,0
4,L,2,0,0,1,0,4,0,0,0
4,L,1,0,1,0,1,4,0,0,0
4,L,8,1,2,0,0,12,27,7,2
4,L,3,1,3,0,0,5,21,9,0
4,M,0,0,0,0,0,0,6,4,0
4,M,0,0,0,0,0,4,21,0,0
4,L,2,0,0,1,0,0,2,0,0
4,L,0,0,0,1,0,4,4,1,1
4,M,0,0,0,1,0,6,0,0,0
4,M,0,0,0,0,0,1,0,0,0
4,M,0,0,0,0,0,10,0,0,0
4,M,0,0,0,0,0,0,1,0,0
4,L,1,0,0,1,0,3,0,0,0
4,L,0,0,0,0,0,2,7,0,0
4,L,1,0,0,0,0,9,0,0,1
4,L,0,0,0,0,0,22,0,0,1
4,M,0,0,0,0,0,27,9,1,0
4,M,0,0,0,0,0,18,10,21,0
4,M,0,0,0,0,0,0,2,0,1
4,M,0,0,0,1,0,1,11,5,0
4,U,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,0,0,0,0
4,U,0,0,0,0,0,6,0,0,0
4,U,0,0,0,0,0,8,0,0,0
4,U,0,0,0,0,0,0,0,0,0
5,L,10,0,0,2,0,0,2,1,0
5,L,0,0,0,1,0,0,0,0,0
5,L,6,0,0,2,0,0,1,2,0
5,L,1,0,0,0,0,0,4,3,0
5,L,0,0,0,0,0,0,1,3,0
5,M,0,0,0,0,0,7,0,0,0
5,M,0,0,0,0,0,15,15,1,0
5,M,0,0,0,1,0,6,6,0,0
5,M,0,0,0,0,0,0,6,0,0
5,M,0,0,0,0,0,1,1,0,0
5,M,0,0,0,0,0,11,0,0,0
5,M,0,0,0,0,0,6,4,0,0
5,M,0,0,0,0,0,19,4,0,0
5,M,0,0,0,0,0,6,1,0,0
5,M,0,0,0,0,0,1,2,1,0
5,L,4,0,0,1,0,2,1,2,0
5,L,5,0,0,2,0,0,3,3,0
5,L,0,0,0,1,0,0,13,4,2
5,L,0,0,0,1,0,0,2,0,0
5,L,7,0,5,0,0,4,7,3,0
5,L,0,0,0,0,0,0,1,1,0
5,L,6,0,0,2,0,1,3,2,0
5,L,0,0,0,0,0,0,0,2,0
5,L,17,0,0,0,0,3,4,1,1
5,L,0,0,0,2,0,0,3,0,0
5,L,20,0,3,0,0,2,5,9,0
5,L,3,0,0,1,0,0,2,1,0
5,L,0,0,0,0,0,0,5,0,3
5,L,0,0,0,1,0,0,0,0,0
5,L,0,0,0,2,0,0,0,0,2
5,L,2,0,0,0,0,0,9,0,0
5,U,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0
5,L,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,1,0,0,0
5,U,0,0,0,0,0,4,0,0,0
5,U,0,0,0,0,0,0,0,0,0
5,U,0,0,0,0,0,10,1,0,0
5,U,0,0,0,0,0,12,0,0,0
6,L,0,1,0,2,0,3,1,0,1
6,L,0,1,0,1,0,2,6,0,0
6,L,0,0,0,1,0,0,16,0,1
6,L,0,0,0,1,0,0,3,0,0
6,L,0,0,2,3,0,0,4,0,1
6,L,3,0,1,1,0,1,1,1,0
6,L,0,0,0,1,0,2,11,1,1
6,L,0,0,0,1,0,0,1,0,0
6,L,0,0,0,1,0,3,4,1,0
6,L,1,0,0,2,0,11,18,32,2
6,M,0,0,0,0,0,58,7,0,0
6,M,0,0,0,0,0,8,2,0,0
6,M,0,0,0,0,0,1,1,0,0
6,M,0,0,0,0,1,4,2,0,0
6,M,0,0,0,0,0,6,0,0,0
6,M,0,0,0,0,0,1,2,0,0
6,M,0,0,0,0,0,0,5,0,0
6,M,0,0,0,0,0,17,0,0,0
6,M,0,0,0,0,0,46,4,0,0
6,M,0,0,0,0,0,9,1,0,0
6,M,0,0,0,0,0,5,5,2,0
6,M,1,0,0,0,0,2,0,0,0
6,U,0,0,0,0,1,2,1,0,0
6,U,0,0,0,0,0,5,2,0,0
6,M,0,0,0,0,0,0,1,0,0
6,M,0,0,0,0,0,1,1,2,0
6,U,0,0,0,0,0,0,0,0,0
6,U,0,0,0,0,0,0,0,0,0
6,L,0,0,0,0,0,0,0,0,0
6,L,0,1,0,0,0,0,0,1,0
6,L,0,1,0,0,0,0,0,0,0
6,L,0,0,0,0,0,0,1,0,0
6,M,0,0,0,0,0,1,1,0,0
6,M,0,0,0,0,0,1,1,0,0
6,M,0,1,0,0,0,3,1,1,0
6,M,0,0,0,0,0,0,1,0,0
6,L,0,0,0,0,0,0,1,1,0
6,L,0,0,0,0,0,1,2,0,0
6,M,0,0,0,0,0,6,4,0,0
6,M,0,0,0,0,0,3,5,0,0
6,U,0,0,0,0,3,1,1,0,0
6,U,0,0,0,0,4,0,1,0,0
6,U,0,0,0,0,0,4,1,0,0
6,U,0,0,0,0,0,2,1,0,0
6,U,0,0,0,0,0,4,1,0,0
6,U,0,0,0,0,0,6,1,0,0
6,L,0,0,0,0,0,0,0,0,0
6,L,0,0,0,0,0,0,0,0,0
6,L,0,0,0,0,1,0,0,0,0
6,L,0,0,0,0,1,0,0,0,0
6,L,0,0,0,1,1,0,1,1,0
6,L,0,0,0,0,0,0,0,0,0
6,L,1,0,0,0,0,0,0,3,0
6,L,0,0,0,0,2,0,2,1,0
6,L,0,0,0,1,0,2,0,1,0
6,L,1,0,0,1,0,0,1,2,0
6,U,0,0,0,0,0,1,16,0,0
6,U,0,0,0,0,0,5,0,0,0
6,U,0,0,0,0,0,0,0,0,0
6,U,0,0,0,0,0,0,0,0,0
6,U,0,0,0,0,0,0,0,0,0
6,U,0,0,0,0,0,0,0,0,0
6,U,0,0,0,0,0,0,0,0,0
6,U,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,3,0,0,0
7,U,0,0,0,0,0,7,0,0,0
7,U,0,0,0,0,0,1,4,0,0
7,U,0,0,0,0,0,15,0,0,0
7,L,0,0,0,0,0,1,0,0,1
7,L,0,0,0,1,0,41,4,0,0
7,L,0,0,0,0,0,0,2,0,0
7,L,0,0,0,0,0,1,3,0,1
7,L,0,0,0,1,0,1,4,1,1
7,L,0,0,0,0,0,3,4,0,0
7,M,1,0,0,0,0,3,10,1,2
7,M,0,0,0,0,0,3,2,0,0
7,M,0,0,0,0,0,7,10,0,0
7,M,0,0,0,0,0,0,0,0,0
7,M,0,0,0,0,0,0,7,0,2
7,M,1,0,0,0,0,1,4,0,0
7,M,2,0,0,0,0,0,4,0,0
7,M,0,0,0,0,0,14,3,0,0
7,L,0,0,0,0,0,1,7,0,0
7,L,0,0,0,0,0,0,10,0,2
7,L,0,0,0,0,0,2,11,0,0
7,L,0,0,0,2,0,0,2,1,0
7,L,0,0,0,0,0,2,0,0,0
7,L,0,1,0,0,0,2,3,0,0
7,M,4,0,0,0,0,10,14,2,1
7,M,1,1,0,0,0,1,12,1,2
7,L,5,0,0,0,0,1,12,1,0
7,L,1,0,0,0,0,0,9,1,1
7,L,0,1,1,1,0,1,2,0,1
7,L,1,0,1,1,0,3,6,6,1
7,L,0,0,1,0,0,2,4,1,0
7,L,1,0,0,0,0,5,4,2,2
7,L,0,0,0,0,0,9,0,0,0
7,L,1,0,0,0,0,4,0,1,0
7,L,0,0,0,0,0,1,0,0,0
7,L,0,0,0,0,0,3,0,0,0
7,M,0,0,0,0,0,15,11,0,0
7,M,0,0,0,0,0,7,13,0,0
7,M,0,0,0,0,0,25,9,0,0
7,M,0,0,0,0,0,29,2,0,0
7,M,0,0,0,0,0,55,5,1,0
7,M,0,0,0,0,0,52,5,0,0
7,M,0,0,0,0,0,11,16,7,0
7,M,0,0,0,0,0,16,0,1,1
7,U,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0
7,U,0,0,0,0,0,0,0,0,0
8,L,0,0,0,0,0,7,2,1,0
8,L,3,0,0,0,0,0,4,1,2
8,L,0,0,0,0,0,1,0,1,1
8,L,0,0,0,0,0,0,0,0,1
8,M,0,0,0,0,0,0,6,2,0
8,M,1,0,0,0,0,2,5,2,0
8,U,0,0,0,0,0,7,1,0,0
8,U,3,0,0,0,0,7,0,2,0
8,U,0,0,0,0,0,13,2,1,0
8,U,0,0,0,0,0,16,0,0,0
8,M,0,0,1,0,0,5,11,6,1
8,M,1,0,0,0,0,0,10,6,0
8,U,0,0,0,0,0,7,1,0,0
8,U,0,0,0,0,0,5,1,0,0
8,M,0,0,0,0,0,0,0,0,0
8,M,2,0,0,0,0,1,0,0,0
8,M ,1,0,0,0,0,0,0,0,0
8,M,0,0,0,0,0,0,3,0,0
8,U,2,0,0,0,0,11,1,0,0
8,U,0,0,0,0,0,10,0,0,0
8,L,1,0,0,0,0,2,1,0,0
8,L,0,0,0,0,0,0,1,0,0
8,M,0,0,0,0,0,1,9,3,1
8,M,0,0,3,0,0,20,7,11,1
8,L,4,0,1,0,0,2,3,0,2
8,L,0,0,0,0,0,1,1,0,1
8,M,1,0,0,0,0,1,3,0,0
8,M,0,0,0,0,0,0,3,0,0
8,L,0,0,0,0,0,0,3,0,0
8,L,1,0,0,0,0,0,4,1,0
8,M,0,0,0,0,0,0,0,0,0
8,M,0,0,0,0,0,1,0,0,0
8,U,0,0,0,0,0,0,0,0,0
8,U,0,0,0,0,0,32,0,0,0
8,U,0,0,0,0,0,16,1,0,0
8,U,0,0,0,0,0,9,0,0,0
8,M,0,0,0,0,0,3,0,0,0
8,M,0,0,0,0,0,1,0,0,0
8,U,0,0,0,0,0,8,0,0,0
8,U,0,0,0,0,0,23,0,0,0
8,M,0,0,0,0,0,4,0,0,0
8,M,0,0,0,0,0,0,0,0,0
8,U,0,0,0,0,0,20,0,0,0
8,U,0,0,0,0,0,18,0,0,0
8,L,0,0,0,1,0,0,0,0,0
8,L,0,0,0,0,0,0,0,0,0
8,L,0,0,0,0,0,3,6,0,1
8,L,0,0,0,0,0,0,1,0,0
8,L,1,0,0,0,0,0,5,8,1
8,L,0,0,1,0,0,2,5,4,1
8,L,0,0,0,0,0,1,10,2,1
8,L,0,0,0,0,0,2,7,2,1
8,L,0,0,0,0,0,1,0,1,0
8,L,1,0,1,0,0,1,6,0,0
8,L,0,0,0,0,0,7,0,0,0
8,L,0,0,0,1,0,17,10,2,0
8,L,0,0,0,0,0,0,0,0,0
8,L,0,0,0,0,0,0,0,0,0
